stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0211ZMT,,Main stage ,D,-1.282906,36.824873,,,,
0211KNJ,,Konja,D,-1.281538,36.822435,,,,
0211NGR,,Ngara,D,-1.274601,36.824122,,,,
0211PIO,,KIE/Pioneer,D,-1.271566,36.82825,,,,
0201PNG,,Pangani,ND,-1.266785,36.834315,,,,
0211MTG,,Muthaiga,D,-1.259818,36.843621,,,,
0211NYS,,NYS stage,D,-1.256155,36.855219,,,,
0211KCA,,KCA,D,-1.252175,36.859441,,,,
0211DRV,,Drive in,D,-1.248373,36.863078,,,,
0201ALS,,Allsops,ND,-1.244367,36.86667,,,,
0211ALS,,Allsops,D,-1.244064,36.867212,,,,
0201HML,,Homeland in,ND,-1.232262,36.87565,,,,
0211STD,,Stadium,D,-1.224904,36.885542,,,,
0201RSB,,Roysabu,ND,-1.218631,36.890574,,,,
0211RSB,,Roysabu,D,-1.217999,36.891035,,,,
0201SUP,,Supreme,ND,-1.212885,36.893063,,,,
0211ROY,,Royal,D,-1.209114,36.89386,,,,
0201GSP,,Gospel Church,ND,-1.208688,36.893951,,,,
0201BAS,,Base,ND,-1.206747,36.894434,,,,
0211BAS,,Base,D,-1.203041,36.896759,,,,
0201CAR,,Car Wash,ND,-1.201003,36.898857,,,,
0211CAR,,Car Wash,D,-1.199799,36.900485,,,,
0211ZMD,,Main stage,D,-1.200096,36.900158,,,,
0210ZMD,,Main stage,D,-1.200096,36.900158,,,,
0200GAK,,Gakena supermarket,ND,-1.201713,36.897978,,,,
0210EDE,,Eden supermarket,D,-1.201649,36.898004,,,,
0210GAS,,G Gas Shop,D,-1.2056415,36.8950201,,,,
0200CHF,,Chiefs office,ND,-1.201885,36.897794,,,,
0200CAT,,Catholic church,ND,-1.202614,36.897049,,,,
0200MTM,,Mirema Garden,ND,-1.212847,36.893117,,,,
0210MRM,,Mirema,D,-1.213255,36.893031,,,,
0210RSB,,Roysabu,D,-1.218168,36.891142,,,,
0210STD,,Stadium,D,-1.221149,36.890238,,,,
0200STD,,Stadium,ND,-1.221498,36.88989,,,,
0200HML,,Homeland in,ND,-1.234187,36.874215,,,,
0210ALS,,All sops,D,-1.245918,36.8666807,,,,
0210DRV,,Drive in,D,-1.248201,36.863979,,,,
0210KCA,,KCA,D,-1.251848,36.860455,,,,
0210SUR,,survey,D,-1.256648,36.855305,,,,
0210MTG,,Muthaiga,D,-1.259936,36.844346,,,,
0210PNG,,Pangani,D,-1.266179,36.835124,,,,
0200GNK,,Guru Nanak,ND,-1.268919,36.83285,,,,
0210NGR,,Ngara,D,-1.274513,36.824497,,,,
0210FIG,,Fig Tree,D,-1.275607,36.823317,,,,
0210KNJ,,Konja,D,-1.281093,36.82277,,,,
0210ZMT,,Main stage,D,-1.282906,36.824873,,,,
