stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0211RNT,,Terminal tusker,D,-1.285521,36.828269,,,,
0201KRK,,Kariokor,ND,-1.279431,36.833293,,,,
0311PGG,,Pangani Girls,D,-1.26989,36.838241,,,,
0301MBP,,mamba petro station,ND,-1.268941,36.841927,,,,
0301MLG,,mlango,ND,-1.267348,36.843678,,,,
0301SNT,,st teresa,ND,-1.266468,36.847688,,,,
0301ALB,,albadr,ND,-1.266168,36.849023,,,,
0301MAP,,mathare worship,ND,-1.265889,36.85133,,,,
0301BHS,,BH,ND,-1.265873,36.85743,,,,
0311AGP,,Agip,D,-1.263902,36.860826,,,,
0311TEN,,number 10,D,-1.263009,36.863945,,,,
0311THY,,thayo,D,-1.26234,36.865956,,,,
0311CHF,,kwa chief,D,-1.261979,36.86722,,,,
0301BAS,,base,ND,-1.261639,36.871653,,,,
0301FLT,,flats,ND,-1.261766,36.873998,,,,
0311JSG,,johnsaga,D,-1.261954,36.873257,,,,
0311RND,,Tounder Terminal,D,-1.262389,36.878748,,,,
0310RND,,Rounder Terminal,D,-1.262389,36.878748,,,,
0310FLT,,flats,D,-1.261717,36.868798,,,,
0300BAS,,base,ND,-1.262131,36.86737,,,,
0310CHF,,kwa chief,D,-1.262392,36.866339,,,,
0310TEN,,N 10,D,-1.263947,36.861146,,,,
0310FRC,,moi airforces stage,D,-1.265835,36.858775,,,,
0310JAY,,jay community,D,-1.265996,36.852864,,,,
0310SNT,,senty stop,D,-1.266554,36.84766,,,,
0300MLG,,mlango stop,ND,-1.267466,36.843658,,,,
0310PGG,,pangani gals,D,-1.270448,36.836899,,,,
0310PGP,,pangani post,D,-1.27026,36.835553,,,,
0300GNK,,guru nanak,ND,-1.269278,36.832431,,,,
0210NGR,,Ngara,D,-1.274513,36.824497,,,,
0210FIG,,Fig Tree,D,-1.275607,36.823317,,,,
0210KNJ,,Konja,D,-1.281093,36.82277,,,,
0210RNT,,Terminal tusker,D,-1.285521,36.828269,,,,
