shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3046B11,-1.285927,36.827461,1001,
3046B11,-1.284026,36.831249,1002,
3046B11,-1.284026,36.831249,1003,
3046B11,-1.281611,36.832012,1004,
3046B11,-1.281007,36.832161,1005,
3046B11,-1.281007,36.832161,1006,
3046B11,-1.280776,36.832001,1007,
3046B11,-1.280466,36.831978,1008,
3046B11,-1.280376,36.8321,1009,
3046B11,-1.280358,36.832321,1010,
3046B11,-1.280406,36.83242,1011,
3046B11,-1.279219,36.833508,1012,
3046B11,-1.278877,36.833698,1013,
3046B11,-1.278355,36.833862,1014,
3046B11,-1.277444,36.834007,1015,
3046B11,-1.27579,36.834785,1016,
3046B11,-1.273206,36.835724,1017,
3046B11,-1.271,36.836628,1018,
3046B11,-1.270184,36.836914,1019,
3046B11,-1.270184,36.836914,1020,
3046B11,-1.27007,36.837566,1021,
3046B11,-1.270053,36.837639,1022,
3046B11,-1.268959,36.84193,1023,
3046B11,-1.267462,36.843559,1024,
3046B11,-1.26723,36.844017,1025,
3046B11,-1.265946,36.85043,1026,
3046B11,-1.265886,36.858452,1027,
3046B11,-1.265774,36.858791,1028,
3046B11,-1.265612,36.859039,1029,
3046B11,-1.264907,36.859509,1030,
3046B11,-1.264515,36.85984,1031,
3046B11,-1.264238,36.860188,1032,
3046B11,-1.264043,36.86055,1033,
3046B11,-1.263819,36.861179,1034,
3046B11,-1.26161,36.868938,1035,
3046B11,-1.261453,36.869598,1036,
3046B11,-1.261441,36.869965,1037,
3046B11,-1.261944,36.87326,1038,
3046B11,-1.261944,36.87326,1039,
3046B11,-1.262555,36.877377,1040,
3046B11,-1.262526,36.878223,1041,
3046B11,-1.262445,36.878757,1042,
3046B11,-1.262445,36.878757,2001,
3046B11,-1.262526,36.878223,2002,
3046B11,-1.262555,36.877377,2003,
3046B11,-1.261944,36.87326,2004,
3046B11,-1.261944,36.87326,2005,
3046B11,-1.261441,36.869965,2006,
3046B11,-1.261453,36.869598,2007,
3046B11,-1.26161,36.868938,2008,
3046B11,-1.263819,36.861179,2009,
3046B11,-1.264043,36.86055,2010,
3046B11,-1.264238,36.860188,2011,
3046B11,-1.264515,36.85984,2012,
3046B11,-1.264907,36.859509,2013,
3046B11,-1.265612,36.859039,2014,
3046B11,-1.265774,36.858791,2015,
3046B11,-1.265886,36.858452,2016,
3046B11,-1.265946,36.85043,2017,
3046B11,-1.26723,36.844017,2018,
3046B11,-1.267462,36.843559,2019,
3046B11,-1.268959,36.84193,2020,
3046B11,-1.270053,36.837639,2021,
3046B11,-1.27007,36.837566,2022,
3046B11,-1.27033,36.836273,2023,
3046B11,-1.27034,36.835999,2024,
3046B11,-1.269482,36.832848,2025,
3046B11,-1.269482,36.832848,2026,
3046B11,-1.26967,36.832802,2027,
3046B11,-1.26967,36.832802,2028,
3046B11,-1.269398,36.83263,2029,
3046B11,-1.269268,36.832428,2030,
3046B11,-1.269268,36.832428,2031,
3046B11,-1.269997,36.831249,2032,
3046B11,-1.269997,36.831249,2033,
3046B11,-1.27224,36.827644,2034,
3046B11,-1.27224,36.827644,2035,
3046B11,-1.274102,36.825138,2036,
3046B11,-1.274401,36.824615,2037,
3046B11,-1.275311,36.823521,2038,
3046B11,-1.275676,36.823257,2039,
3046B11,-1.276723,36.822781,2040,
3046B11,-1.277186,36.822029,2041,
3046B11,-1.277186,36.822029,2042,
3046B11,-1.277304,36.821709,2043,
3046B11,-1.277492,36.82151,2044,
3046B11,-1.277822,36.821342,2045,
3046B11,-1.279468,36.821247,2046,
3046B11,-1.27993,36.821365,2047,
3046B11,-1.280391,36.82164,2048,
3046B11,-1.281037,36.822353,2049,
3046B11,-1.281037,36.822353,2050,
3046B11,-1.281019,36.822552,2051,
3046B11,-1.281116,36.82275,2052,
3046B11,-1.281378,36.822975,2053,
3046B11,-1.281587,36.822884,2054,
3046B11,-1.2818,36.822948,2055,
3046B11,-1.281915,36.823063,2056,
3046B11,-1.284202,36.825943,2057,
3046B11,-1.286187,36.826923,2058,
3046B11,-1.286187,36.826923,2059,
3046B11,-1.285927,36.827461,2060,
