stop_id,stop_code ,stop_name,Description,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0410KNC,,Kencom,D,-1.28589,36.82429,,,,
0611GPO,,GPO,D,-1.285969,36.818707,,,,
0611SRN,,Serena,D,-1.288756,36.813043,,,,
0611VRP,,Valley road pentecostal,D,-1.292408,36.804994,,,,
0611DOD,,D.O.D,D,-1.295282,36.801229,,,,
0611HUR,,Hurlingum,D,-1.294638,36.797727,,,,
0601QUA,,Quality,ND,-1.294109,36.795529,,,,
0611CKA,,Chaka place,D,-1.29312,36.791316,,,,
0611YAY,,Yaya,D,-1.292751,36.789354,,,,
0611KIL,,Kilimani,D,-1.29234,36.786012,,,,
0601KIR,,kirichwa,ND,-1.292467,36.781497,,,,
0601MON,,Montessouri,ND,-1.292854,36.774758,,,,
0601ARC,,Valley Arcade,ND,-1.290004,36.770133,,,,
0611AMB,,Amboseli,D,-1.289604,36.759812,,,,
0601BRB,,Braeburn,ND,-1.289476,36.755692,,,,
0611KON,,Kongo,D,-1.289283,36.753228,,,,
0601COA,,Coast,ND,-1.28824,36.750481,,,,
0601COP,,Co-op bank,ND,-1.287534,36.748843,,,,
0611SOK,,Sokoni ,D,-1.286301,36.745661,,,,
0611MWI,,Kawangware Mwisho,D,-1.283934,36.742585,,,,
0600MWI,,Kawangware Mwisho,D,-1.284134,36.742977,,,,
0610SOK,,Sokoni ,D,-1.286322,36.745633,,,,
0600COP,,Co-op Bank,ND,-1.287475,36.748821,,,,
0600RUS,,Rusinga School,ND,-1.289355,36.754621,,,,
0600BRB,,Braeburn,ND,-1.289474,36.756896,,,,
0600AMB,,Amboselli,D,-1.289586,36.760559,,,,
0600ARC,,Valley Arcade,ND,-1.289983,36.770481,,,,
0600OTH,,Othaya,ND,-1.290063,36.772991,,,,
0600MON,,Montessouri,ND,-1.292747,36.774682,,,,
0600KIR,,Kirichwa,ND,-1.292466,36.781499,,,,
0600KIL,,Kilimani primary,D,-1.292339,36.783916,,,,
0600YAY,,Yaya ,D,-1.292396,36.788124,,,,
0600CHK,,Chaka place,D,-1.293187,36.791745,,,,
0600VRP,,Valley road pentecostal,D,-1.292357,36.805192,,,,
0600SER,,Serena,D,-1.288167,36.813778,,,,
0600GPO,,GPO,D,-1.285883,36.818241,,,,
0411KNC,,Kencom,,-1.285496,36.82528,,,,
