stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0811ODE,,Odeon Terminus,D,-1.282757,36.825048,,,,
0811MUS,,Museum,ND,-1.274128,36.811825,,,,
0801HIR,,Chiromo,ND,-1.271117,36.806804,,,,
0801CFY,,Chiromo Flyover,ND,-1.272474,36.803714,,,,
0801PBN,,Prime Bank,ND,-1.271918,36.801774,,,,
0801IMP,,Imperial Bank,ND,-1.270324,36.799344,,,,
0801RLN,,Riverside Lane/Montessori,ND,-1.269793,36.793951,,,,
0801RPD,,Riverside Paddocks,ND,-1.268361,36.785434,,,,
0811STR,,Strathmore School,D,-1.271307,36.775231,,,,
0801STU,,St.Austin's,ND,-1.275686,36.771938,,,,
0811SAV,,Shell/Lavington/Subru Motors,D,-1.278501,36.770223,,,,
0801LAV,,Lavington Shopping Centre/Shell,ND,-1.280216,36.769194,,,,
0800IGL,,Isaac Gathanju Road/Lavington Shopping Centre,ND,-1.27996,36.769263,,,,
0800ELM,,El Molo Drive/Subru Motors,ND,-1.278324,36.770258,,,,
0800STT,,St.Austin's,ND,-1.275705,36.771917,,,,
0800STR,,Strathmore School/Mbabane Road,ND,-1.270877,36.775226,,,,
0800GRP,,German Embassy/Riverside Paddocks,ND,-1.268324,36.785744,,,,
0800RLN,,Riverside Lane,ND,-1.269707,36.794005,,,,
0800IML,,Imperial Bank,ND,-1.270238,36.799301,,,,
0800PBB,,Prime Bank,ND,-1.271772,36.801456,,,,
0800TAS,,Taj Apartments Stage,ND,-1.272376,36.802951,,,,
0800CFL,,Chiromo Flyover,ND,-1.272487,36.80373,,,,
0800CHO,,Chiromo (Mortuary),ND,-1.271148,36.806449,,,,
0800CHR,,Chiromo,ND,-1.270322,36.807561,,,,
0800MUS,,Museum,ND,-1.274128,36.811825,,,,
0810MCP,,Main Campus,D,-1.281029,36.816244,,,,
0810ODE,,Odeon Terminus,D,-1.282757,36.825048,,,,

