shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
8048A11,-1.282794,36.82505,1001,
8048A11,-1.283306,36.82465,1002,
8048A11,-1.283306,36.82465,1003,
8048A11,-1.281553,36.822525,1004,
8048A11,-1.281392,36.822384,1005,
8048A11,-1.281093,36.822308,1006,
8048A11,-1.280994,36.82222,1007,
8048A11,-1.280331,36.821404,1008,
8048A11,-1.280098,36.821224,1009,
8048A11,-1.280098,36.821224,1010,
8048A11,-1.279546,36.821064,1011,
8048A11,-1.279546,36.821064,1012,
8048A11,-1.279329,36.820831,1013,
8048A11,-1.279342,36.820572,1014,
8048A11,-1.280085,36.819317,1015,
8048A11,-1.280123,36.819115,1016,
8048A11,-1.280123,36.819115,1017,
8048A11,-1.280066,36.818707,1018,
8048A11,-1.280243,36.818275,1019,
8048A11,-1.280243,36.818275,1020,
8048A11,-1.28175,36.815289,1021,
8048A11,-1.28175,36.815289,1022,
8048A11,-1.281935,36.815182,1023,
8048A11,-1.281993,36.815044,1024,
8048A11,-1.281935,36.814842,1025,
8048A11,-1.281829,36.814777,1026,
8048A11,-1.281703,36.814766,1027,
8048A11,-1.281545,36.814838,1028,
8048A11,-1.280125,36.814201,1029,
8048A11,-1.279305,36.814034,1030,
8048A11,-1.278078,36.813877,1031,
8048A11,-1.277231,36.813675,1032,
8048A11,-1.276072,36.813187,1033,
8048A11,-1.275296,36.812695,1034,
8048A11,-1.275296,36.812695,1035,
8048A11,-1.274499,36.812012,1036,
8048A11,-1.274144,36.811615,1037,
8048A11,-1.273131,36.809734,1038,
8048A11,-1.272256,36.808544,1039,
8048A11,-1.27085,36.807278,1040,
8048A11,-1.27085,36.807278,1041,
8048A11,-1.271012,36.807056,1042,
8048A11,-1.271267,36.806187,1043,
8048A11,-1.271824,36.805252,1044,
8048A11,-1.272488,36.803761,1045,
8048A11,-1.272524,36.803375,1046,
8048A11,-1.272267,36.802521,1047,
8048A11,-1.272141,36.802254,1048,
8048A11,-1.271828,36.801712,1049,
8048A11,-1.270604,36.799927,1050,
8048A11,-1.270172,36.799114,1051,
8048A11,-1.270111,36.798878,1052,
8048A11,-1.269874,36.796211,1053,
8048A11,-1.269854,36.794849,1054,
8048A11,-1.269645,36.793491,1055,
8048A11,-1.26958,36.791908,1056,
8048A11,-1.269296,36.790886,1057,
8048A11,-1.269226,36.789661,1058,
8048A11,-1.269079,36.788433,1059,
8048A11,-1.268548,36.786499,1060,
8048A11,-1.268376,36.785522,1061,
8048A11,-1.267749,36.783821,1062,
8048A11,-1.267486,36.78286,1063,
8048A11,-1.267683,36.782257,1064,
8048A11,-1.268513,36.780563,1065,
8048A11,-1.268513,36.780563,1066,
8048A11,-1.269493,36.780609,1067,
8048A11,-1.269678,36.780582,1068,
8048A11,-1.269973,36.780338,1069,
8048A11,-1.27042,36.779598,1070,
8048A11,-1.271711,36.778831,1071,
8048A11,-1.271711,36.778831,1072,
8048A11,-1.271203,36.777149,1073,
8048A11,-1.270972,36.775204,1074,
8048A11,-1.270972,36.775204,1075,
8048A11,-1.271592,36.775017,1076,
8048A11,-1.272383,36.774586,1077,
8048A11,-1.272886,36.774242,1078,
8048A11,-1.275312,36.772194,1079,
8048A11,-1.276357,36.771431,1080,
8048A11,-1.280166,36.769104,1081,
8048A11,-1.280166,36.769104,2001,
8048A11,-1.276357,36.771431,2002,
8048A11,-1.275312,36.772194,2003,
8048A11,-1.272886,36.774242,2004,
8048A11,-1.272383,36.774586,2005,
8048A11,-1.271592,36.775017,2006,
