stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0811ODE,,Odeon Terminus,D,-1.282757,36.825048,,,,
0811MUS,,Museum,ND,-1.274128,36.811825,,,,
0801HIR,,Chiromo,ND,-1.271117,36.806804,,,,
0801CFY,,Chiromo Flyover,ND,-1.272474,36.803714,,,,
0801PBN,,Prime Bank,ND,-1.271918,36.801774,,,,
0811PBG,,Prime Bank Stage,D,-1.272219,36.801386,,,,
0811SAB,,Shell/Arboretum,ND,-1.274529,36.799983,,,,
0801MWK,,Mwingi/Kasuku Centre,ND,-1.275845,36.795049,,,,
0801KAC,,Kasuku Centre,ND,-1.275441,36.794799,,,,
0801KAN,,Kandara Road,ND,-1.27611,36.793069,,,,
0801KIL,,Kileleshwa Day Nursery,ND,-1.276826,36.792352,,,,
0801KPR,,Kileleshwa Primary School,ND,-1.277406,36.79172,,,,
0801CPS,,Corner Primary School,ND,-1.277871,36.791112,,,,
0801KNG,,Kangundo,ND,-1.279382,36.790422,,,,
0811SYJ,,Jacaranda/Siaya Road,D,-1.282289,36.787224,,,,
0801LKN,,Likoni,ND,-1.28355,36.785444,,,,
0801PPC,,Peponi Court,ND,-1.285899,36.78236,,,,
0801MDM,,Methodist/Mazeras,ND,-1.290119,36.777343,,,,
0800ORS,,Othaya Road Stage,ND,-1.288635,36.77301,,,,
0800MRI,,Mugoiri,ND,-1.28422,36.778875,,,,
0800ACW,,ACWICT,ND,-1.285485,36.782048,,,,
0800MKI,,Makueni,ND,-1.285203,36.783223,,,,
0800MWG,,Mwingi/Garage,ND,-1.280677,36.781659,,,,
0800JCR,,Jacaranda,ND,-1.279389,36.783492,,,,
0800KRN,,Kandara Road/Kenya High,ND,-1.276931,36.785988,,,,
0800OKC,,Ole Kejuodo Road/Corner Primary School,ND,-1.275885,36.788924,,,,
0800PLP,,Parklane Place,ND,-1.275983,36.792863,,,,
0800MGJ,,Mandera/Gichugu Road Junction,ND,-1.274985,36.793481,,,,
0810KPR,,Kileleshwa Police Station/Roundabout,D,-1.275117,36.79406,,,,
0810ARB,,Arboretum,D,-1.273436,36.800785,,,,
0800PBB,,Prime Bank,ND,-1.271772,36.801456,,,,
0800TAS,,Taj Apartments Stage,ND,-1.272376,36.802951,,,,
0800CFL,,Chiromo Flyover,ND,-1.272487,36.80373,,,,
0800CHO,,Chiromo (Mortuary),ND,-1.271148,36.806449,,,,
0800CHR,,Chiromo,ND,-1.270322,36.807561,,,,
0800MUS,,Museum,ND,-1.274128,36.811825,,,,
0810MCP,,Main Campus,D,-1.281029,36.816244,,,,
0810ODE,,Odeon Terminus,D,-1.282757,36.825048,,,,
