shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
8048B11,-1.282794,36.82505,1001,
8048B11,-1.283306,36.82465,1002,
8048B11,-1.283306,36.82465,1003,
8048B11,-1.281553,36.822525,1004,
8048B11,-1.281392,36.822384,1005,
8048B11,-1.281093,36.822308,1006,
8048B11,-1.280994,36.82222,1007,
8048B11,-1.280331,36.821404,1008,
8048B11,-1.280098,36.821224,1009,
8048B11,-1.280098,36.821224,1010,
8048B11,-1.279546,36.821064,1011,
8048B11,-1.279546,36.821064,1012,
8048B11,-1.279329,36.820831,1013,
8048B11,-1.279342,36.820572,1014,
8048B11,-1.280085,36.819317,1015,
8048B11,-1.280123,36.819115,1016,
8048B11,-1.280123,36.819115,1017,
8048B11,-1.280066,36.818707,1018,
8048B11,-1.280243,36.818275,1019,
8048B11,-1.280243,36.818275,1020,
8048B11,-1.28175,36.815289,1021,
8048B11,-1.28175,36.815289,1022,
8048B11,-1.281935,36.815182,1023,
8048B11,-1.281993,36.815044,1024,
8048B11,-1.281935,36.814842,1025,
8048B11,-1.281829,36.814777,1026,
8048B11,-1.281703,36.814766,1027,
8048B11,-1.281545,36.814838,1028,
8048B11,-1.280125,36.814201,1029,
8048B11,-1.279305,36.814034,1030,
8048B11,-1.278078,36.813877,1031,
8048B11,-1.277231,36.813675,1032,
8048B11,-1.276072,36.813187,1033,
8048B11,-1.275296,36.812695,1034,
8048B11,-1.275296,36.812695,1035,
8048B11,-1.274499,36.812012,1036,
8048B11,-1.274144,36.811615,1037,
8048B11,-1.273131,36.809734,1038,
8048B11,-1.272256,36.808544,1039,
8048B11,-1.27085,36.807278,1040,
8048B11,-1.27085,36.807278,1041,
8048B11,-1.271012,36.807056,1042,
8048B11,-1.271267,36.806187,1043,
8048B11,-1.271824,36.805252,1044,
8048B11,-1.272488,36.803761,1045,
8048B11,-1.272525,36.803558,1046,
8048B11,-1.272455,36.803074,1047,
8048B11,-1.272267,36.802521,1048,
8048B11,-1.271715,36.801559,1049,
8048B11,-1.271715,36.801559,1050,
8048B11,-1.272543,36.801231,1051,
8048B11,-1.273955,36.800556,1052,
8048B11,-1.274287,36.800293,1053,
8048B11,-1.2744,36.799923,1054,
8048B11,-1.274348,36.799328,1055,
8048B11,-1.274369,36.79887,1056,
8048B11,-1.274649,36.796837,1057,
8048B11,-1.274714,36.796631,1058,
8048B11,-1.275582,36.795189,1059,
8048B11,-1.275582,36.795189,1060,
8048B11,-1.275732,36.795219,1061,
8048B11,-1.27579,36.795071,1062,
8048B11,-1.275712,36.794994,1063,
8048B11,-1.275612,36.795006,1064,
8048B11,-1.275517,36.794891,1065,
8048B11,-1.274931,36.793556,1066,
8048B11,-1.274931,36.793556,1067,
8048B11,-1.276209,36.792953,1068,
8048B11,-1.279004,36.789967,1069,
8048B11,-1.279197,36.789688,1070,
8048B11,-1.279197,36.789688,1071,
8048B11,-1.279265,36.789783,1072,
8048B11,-1.279465,36.790485,1073,
8048B11,-1.279465,36.790485,1074,
8048B11,-1.281023,36.788979,1075,
8048B11,-1.281536,36.788292,1076,
8048B11,-1.283004,36.785961,1077,
8048B11,-1.283258,36.785744,1078,
8048B11,-1.283386,36.785786,1079,
8048B11,-1.283371,36.785629,1080,
8048B11,-1.284157,36.784721,1081,
8048B11,-1.284654,36.78405,1082,
8048B11,-1.285517,36.782703,1083,
8048B11,-1.285819,36.782333,1084,
8048B11,-1.285819,36.782333,1085,
