stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0811WST,,Westlands,UD,-1.2628,36.80031,,,,
0801STM,,St. Marks,UD,-1.26132,36.79749,,,,
0801LIO,,Lions Place,UD,-1.26109,36.79608,,,,
0801BRK,,Brookside,UD,-1.26025,36.79245,,,,
0811SAF,,AACC/Safaricom/Church Road,UD,-1.25982,36.78687,,,,
0811AGA,,Aga Khan High School,UD,-1.25934,36.78281,,,,
0811ABC,,ABC Place Stage,D,-1.25897,36.7786,,,,
0801ABE,,ABC Place Entrance,UD,-1.25919,36.77746,,,,
0801CBA,,ABC,UD,-1.259767,36.775564,,,,
0801MSO,,Loreto Msongari,UD,-1.262055,36.774296,,,,
0801MGI,,Muthangari Police Station,UD,-1.265893,36.773464,,,,
0801SNT,,St.Mary's School,UD,-1.268121,36.775004,,,,
0811STR,,Strathmore School,D,-1.271307,36.775231,,,,
0801STU,,St.Austin's,UD,-1.275686,36.771938,,,,
0811SAV,,Shell/Lavington/Subru Motors,D,-1.278501,36.770223,,,,
0801LAV,,Lavington Shopping Centre/Shell,UD,-1.280216,36.769194,,,,
0801ACI,,IPSOS Synovate/Acorn House,UD,-1.282955,36.765907,,,,
0801COV,,Convent Lane,UD,-1.284454,36.76399,,,,
0801JGG,,James Gichuru/Gitanga Road Junction,UD,-1.289367,36.761605,,,,
0601AMB,,Amboseli,UD,-1.28957,36.759832,,,,
0601BRB,,Braeburn,UD,-1.289412,36.755856,,,,
0601KON,,Kongo,UD,-1.289283,36.753228,,,,
0601COA,,coast,UD,-1.28824,36.750481,,,,
0601COP,,co-op bank,UD,-1.287534,36.748843,,,,
0600COP,,co-op bank,UD,-1.287545,36.748708,,,,
0600RUS,,rusinga school,UD,-1.289404,36.754596,,,,
0600BRB,,braeburn,UD,-1.289474,36.756896,,,,
0600AMB,,Amboselli,UD,-1.289629,36.760436,,,,
0800JGG,,James Gichuru/Gitanga Road Junction,UD,-1.289462,36.761562,,,,
0800RRD,,Ramisi Road,UD,-1.285672,36.762897,,,,
0800COT,,Convent Drive,UD,-1.284406,36.763979,,,,
0800COS,,Acorn House/IPSOS Synovate,UD,-1.283087,36.765798,,,,
0800IGL,,Isaac Gathanju Road/Lavington Shopping Centre,UD,-1.27996,36.769263,,,,
0800ELM,,El Molo Drive/Subru Motors,UD,-1.278324,36.770258,,,,
0800STT,,St.Austin's,UD,-1.275705,36.771917,,,,
0800STR,,Strathmore School/Mbabane Road,UD,-1.270877,36.775226,,,,
0800STY,,St.Mary'School,UD,-1.26777,36.774734,,,,
0810MUR,,Muthangari Police Station,D,-1.265837,36.773351,,,,
0800LRS,,Loreto Msongari,UD,-1.26211,36.774077,,,,
0800BAC,,ABC,UD,-1.259562,36.775694,,,,
0810KAR,,KARI/James Gichuru Bus Stop,D,-1.25987,36.77262,,,,
0800KBB,,Kabete Barracks/Njuguna's/APDK,UD,-1.25889,36.77816,,,,
0800WDC,,Westlands DC,UD,-1.2596,36.7866,,,,
0810WPS,,Church Road/Westlands Primary School,D,-1.26015,36.7912,,,,
0810LIO,,Lion's Place,D,-1.26021,36.79458,,,,
0810STM,,St. Marks Church,D,-1.26104,36.79726,,,,
0800GPR,,Gama Pinto Road,UD,-1.26187,36.79974,,,,
0800WOF,,Westlands Stage/Turnoff,UD,-1.263452,36.801249,,,,
