stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0811ODE,,Odeon Terminus,D,-1.282757,36.825048,,,,
0811MUS,,Museum,D,-1.274128,36.811825,,,,
0801HIR,,Chiromo,UD,-1.271117,36.806804,,,,
0801CFY,,Chiromo Flyover,UD,-1.272474,36.803714,,,,
0801PBN,,Prime Bank,UD,-1.271918,36.801774,,,,
0811PBG,,Prime Bank Stage,D,-1.272219,36.801386,,,,
0811SAB,,Shell/Arboretum,UD,-1.274529,36.799983,,,,
0801MWK,,Mwingi/Kasuku Centre,UD,-1.275845,36.795049,,,,
0801KAC,,Kasuku Centre,UD,-1.275441,36.794799,,,,
0801KAN,,Kandara Road,UD,-1.27611,36.793069,,,,
0801KIL,,Kileleshwa Day Nursery,UD,-1.276826,36.792352,,,,
0801KPR,,Kileleshwa Primary School,UD,-1.277406,36.79172,,,,
0801CPS,,Corner Primary School,UD,-1.277871,36.791112,,,,
0801BPA,,Brooklyn Palm Apartments,UD,-1.277354,36.790529,,,,
0801OLK,,Ole Kejuodo/Kandara Road Junction,UD,-1.27602,36.788957,,,,
0801DCR,,Day Care/Kandara Road,UD,-1.276964,36.785897,,,,
0801JCA,,Jacaranda,UD,-1.279428,36.783534,,,,
0801MWG,,Mwingi/Garage,UD,-1.280611,36.78179,,,,
0801MNI,,Makueni,UD,-1.284216,36.779104,,,,
0801MUG,,Mugoiri,UD,-1.284459,36.778403,,,,
0801OYA,,Othaya Road,UD,-1.288534,36.773089,,,,
0800ORS,,Othaya Road Stage,UD,-1.288635,36.77301,,,,
0800MRI,,Mugoiri,UD,-1.28422,36.778875,,,,
0800MWG,,Mwingi/Garage,UD,-1.280677,36.781659,,,,
0800JCR,,Jacaranda,UD,-1.279389,36.783492,,,,
0800KRN,,Kandara Road/Kenya High,UD,-1.276931,36.785988,,,,
0800OKC,,Ole Kejuodo Road/Corner Primary School,UD,-1.275885,36.788924,,,,
0800PLP,,Parklane Place,UD,-1.275983,36.792863,,,,
0800MGJ,,Mandera/Gichugu Road Junction,UD,-1.274985,36.793481,,,,
0810KPR,,Kileleshwa Police Station/Roundabout,D,-1.275117,36.79406,,,,
0810ARB,,Arboretum,D,-1.273436,36.800785,,,,
0800PBB,,Prime Bank,UD,-1.271772,36.801456,,,,
0800TAS,,Taj Apartments Stage,UD,-1.272376,36.802951,,,,
0800CFL,,Chiromo Flyover,UD,-1.272487,36.80373,,,,
0800CHO,,Chiromo (Mortuary),UD,-1.271148,36.806449,,,,
0810MCP,,Main Campus,D,-1.281029,36.816244,,,,
0810ODE,,Odeon Terminus,D,-1.282757,36.825048,,,,
