stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0711RWY,,Railways,D,-1.290475,36.82801,,,,
0711NAT,,Nairobi Area Police Traffic Headquarters,D,-1.296463,36.808161,,,,
0711KNT,,Kenyatta National Hospital,D,-1.297568,36.804868,,,,
0711MCP,,Memosa/Coptic,D,-1.298912,36.798084,,,,
0711UCN,,Uchumi Hyper Ngong Road/ Ngong Hills Hotel,D,-1.299527,36.792314,,,,
0711NKP,,Nakumatt Prestige,D,-1.299708,36.787362,,,,
0711MTL,,Motherland,D,-1.299889,36.783829,,,,
0711AAD,,Adams Arcade,D,-1.300068,36.781184,,,,
0701PSA,,Posta,UD,-1.300362,36.774018,,,,
0711PST,,Posta Stage,D,-1.30048,36.771887,,,,
0711IMP,,Impala,D,-1.300448,36.7692,,,,
0711JKR,,Jamuhuri/Kibera Station Road,D,-1.300063,36.767103,,,,
0711NKJ,,Nakumatt Junction,D,-1.299205,36.763019,,,,
0701DCS,,Dagoretti Corner Stage,UD,-1.296688,36.756316,,,,
0711VWO,,Victory World Outreach,D,-1.297388,36.754936,,,,
0701SMH,,Suma House,UD,-1.297948,36.753576,,,,
0701FGK,,Full Gospel Church/Kiruria,UD,-1.298426,36.752382,,,,
0701ITE,,Ithembe,UD,-1.297525,36.750053,,,,
0701GHS,,Good Samaritan High School,UD,-1.296923,36.749861,,,,
0711WST,,Wanyee Stage,D,-1.295965,36.749176,,,,
0701BPS,,Bumps,UD,-1.295017,36.748142,,,,
0701MTW,,Mutindwa,UD,-1.2952,36.744798,,,,
0701JCR,,Jirani Centre,UD,-1.295968,36.743277,,,,
0701GNS,,Genesis,UD,-1.296426,36.741805,,,,
0701NGD,,Ngotho Road,UD,-1.296544,36.740769,,,,
0701SAT,,Satellite Stage,UD,-1.295252,36.739115,,,,
0701RSP,,Riruta Satellite Primary School,UD,-1.29277,36.7363,,,,
0701KPY,,Kaberia/PC Kinyanjui Technical Training Institute,UD,-1.29267,36.735423,,,,
0701NSP,,New Kaberia Supermarket,UD,-1.291703,36.73409,,,,
0701SBR,,Simpsons Bar and Rest,UD,-1.291374,36.73369,,,,
0701KRC,,Kenya Redeemed Church Riruta,UD,-1.291077,36.733127,,,,
0701SJO,,St. John Othordox Church,UD,-1.290811,36.73214,,,,
0701SHC,,Shine Centre,UD,-1.290574,36.73022,,,,
0701MHR,,Muhia Road,UD,-1.290574,36.73022,,,,
0700MRK,,Muhia Road/Kaberia,UD,-1.290519,36.729073,,,,
0700CKK,,Chemist/Kwa Maji/Kaberia,UD,-1.290562,36.728944,,,,
0700ABB,,Abba Photo Studio/Kaberia,UD,-1.290783,36.732013,,,,
0700RCK,,Redeemed Church of kenya/Kaberia,UD,-1.291201,36.733467,,,,
0700KMJ,,Kwa Maji/Kaberia,UD,-1.291491,36.733927,,,,
0700KMH,,Kwa Hospitali/Kaberia,UD,-1.291912,36.734329,,,,
0700FPI,,Friends Paradise Inn/Kaberia,UD,-1.291929,36.734345,,,,
0700FDI,,Friends Paradise Inn/Kaberia,UD,-1.292301,36.734704,,,,
0700RSP,,Riruta Satellite Primary School,UD,-1.29273,36.736172,,,,
0700BTG,,Back to Glory School/Sainty,UD,-1.294784,36.73882,,,,
0700STY,,Sainty,UD,-1.295363,36.739184,,,,
0700MMB,,Meaty Meals Butchery,UD,-1.296511,36.74057,,,,
0700JER,,Jirani Centre,UD,-1.295842,36.743683,,,,
0700MDA,,Mutindwa,UD,-1.295185,36.744944,,,,
0700JLD,,Joyland,UD,-1.294837,36.74762,,,,
0710WSE,,Wanyee Stage,D,-1.296275,36.749208,,,,
0700GEH,,Gerick House,UD,-1.29786,36.751375,,,,
0710FGP,,Full Gospel,D,-1.298354,36.75246,,,,
0700REL,,Relic House,UD,-1.297839,36.753706,,,,
0710VIC,,Victory World Outreach,D,-1.297367,36.75491,,,,
0710KJS,,Kaberia Junction Stage,D,-1.29703,36.756553,,,,
0700TBK,,Tea Board/Dagoretti Corner,UD,-1.298052,36.757968,,,,
0700KDC,,Kenol Dagoretti Corner,UD,-1.29843,36.759874,,,,
0710NKT,,Nakumatt Junction,D,-1.299031,36.762577,,,,
0710BBT,,88MPH/Brew Bistro,D,-1.299571,36.76512,,,,
0710IMJ,,Impala/Makini/Jamuhuri,D,-1.300436,36.76897,,,,
0710POD,,Posta/Ole Odume Road,D,-1.300327,36.774047,,,,
0710ADC,,Adams Arcade,D,-1.300006,36.780041,,,,
0710KRD,,Kirichwa Road Junction,D,-1.299879,36.782118,,,,
0710TTL,,Total Ngong Road,D,-1.299607,36.788665,,,,
0700BMC,,Bishop Maigua Centre,D,-1.29905,36.796961,,,,
0710CCT,,China Centre,D,-1.298608,36.798992,,,,
0710CME,,Coptic /Memosa,D,-1.297604,36.804312,,,,
0710KNL,,Kenyatta National Hospital,D,-1.297021,36.806934,,,,
0710NAQ,,Nairobi Area Traffic Headquarters,D,-1.2852881,36.8288328,,,,
0710TNA,,3rd Ngong Avenue,D,-1.295123,36.81021,,,,
0700NHF,,NHIF,D,-1.29449,36.812269,,,,
0710AGH,,Agip Haile Selassie,D,-1.291307,36.823225,,,,
0710RLA,,Railways,D,-1.289443,36.827767,,,,
