stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0411AMB,,Ambassadeur,D,-1.284544,36.826075,,,,
0411CST,,City Stadium Stage,D,-1.29237,36.84373,,,,
0411SMY,,Shauri Moyo,D,-1.29288,36.846,,,,
0411MZW,,Maziwa,D,-1.2936,36.8492,,,,
0401RKN,,Rikana,UD,-1.294013,36.851153,,,,
0411CAR,,Church Army,D,-1.29454,36.85315,,,,
0411PST,,Posta,D,-1.29528,36.85678,,,,
0401UJR,,Uchumi Jogoo Road,ND,-1.29642,36.86237,,,,
0411HMZ,,Hamza,D,-1.29698,36.87566,,,,
0411BPF,,Buruburu Phase 5 Stage,D,-1.29418,36.8791,,,,
0401BPF,,Buruburu Phase 5 Favourites,UD,-1.29403,36.87993,,,,
0401NPC,,NPC Buruburu,UD,-1.29385,36.88073,,,,
0411PFJ,,Phase 4 ya juu,D,-1.29252,36.88246,,,,
0401BFA,,BIFA,UD,-1.29074,36.88255,,,,
0411PFS,,Phase 4 stage,D,-1.28946,36.88204,,,,
0401UCB,,Uchumi Buruburu,UD,-1.288,36.88153,,,,
0401TSK,,Tuskys,UD,-1.28687,36.88114,,,,
0401MTW,,Mutindwa,UD,-1.28601,36.88066,,,,
0400MTW,,Mutindwa,UD,-1.28617,36.88093,,,,
0400UCB,,Uchumi Buruburu,UD,-1.28808,36.88157,,,,
0400PFS,,Phase 4 stage,UD,-1.28923,36.88201,,,,
0400BFA,,BIFA,UD,-1.29074,36.88251,,,,
0410PFJ,,Phase 4 ya juu,D,-1.29279,36.88228,,,,
0400NPC,,NPC Buruburu,UD,-1.29399,36.88053,,,,
0410BPF,,Buruburu Phase 5 Stage,D,-1.29428,36.87888,,,,
0410NCK,,NCCK,D,-1.29581,36.87668,,,,
0410HMZ,,Hamza,D,-1.29729,36.8748,,,,
0400TJR,,Total Jogoo Road,UD,-1.29798,36.86948,,,,
0410MKD,,Makadara,D,-1.29657,36.86223,,,,
0400UJR,,Uchumi Jogoo Road,UD,-1.29618,36.86031,,,,
0410PST,,Posta,D,-1.29565,36.85747,,,,
0410CAR,,Church Army,D,-1.29475,36.85326,,,,
0400MKG,,Makongeni,UD,-1.29314,36.84594,,,,
0400MZW,,Maziwa,UD,-1.29368,36.84869,,,,
0410KLL,,Kaloleni,D,-1.29304,36.84563,,,,
0410CST,,City Stadium Stage,D,-1.29239,36.84268,,,,
0400NCC,,Nacico ,UD,-1.28892,36.8398,,,,
0400CTB,,Country bus,UD,-1.28663,36.83529,,,,
0410SLA,,Salvation army,D,-1.28533,36.83103,,,,
0410AMB,,Ambassadeur,D,-1.284544,36.826075,,,,
