stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0410CAR,,Church Army,D,-1.29475,36.85326,,,,
0411RIK,,Rikana,D,-1.293424,36.85213,,,,
0411JNV,,Jana Villa,D,-1.291903,36.852417,,,,
0401BFR,,Biafra,UD,-1.286501,36.851676,,,,
0411BFR,,Biafra,D,-1.286449,36.85167,,,,
0411SNC,,Suncity,UD,-1.28568,36.851605,,,,
0401JOS,,Joster,UD,-1.282806,36.851112,,,,
0400SNC,,Suncity,UD,-1.285452,36.85161,,,,
0400BFR,,Biafra,UD,-1.286574,36.851751,,,,
0400JNV,,Jana Villa,UD,-1.289892,36.852357,,,,
0410JNV,,Jana Villa,D,-1.291911,36.852481,,,,
0410RIK,,Rikana,D,-1.293439,36.852278,,,,
0411CAR,,Church Army,D,-1.294503,36.852976,,,,
