shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4000611,-1.294705,36.853271,1001,
4000611,-1.294484,36.852337,1002,
4000611,-1.294484,36.852337,1003,
4000611,-1.294378,36.85183,1004,
4000611,-1.294322,36.851715,1005,
4000611,-1.294207,36.851681,1006,
4000611,-1.294089,36.851852,1007,
4000611,-1.2941,36.852112,1008,
4000611,-1.290937,36.852604,1009,
4000611,-1.28817,36.851887,1010,
4000611,-1.285674,36.851673,1011,
4000611,-1.28281,36.851093,1012,
4000611,-1.28281,36.851093,2001,
4000611,-1.285674,36.851673,2002,
4000611,-1.28817,36.851887,2003,
4000611,-1.290937,36.852604,2004,
4000611,-1.2941,36.852112,2005,
4000611,-1.2941,36.852112,2006,
4000611,-1.294497,36.852978,2007,
