stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0411MWA,,Muthurwa,,-1.288928,36.835961,,,,
0411CST,,City Stadium Stage,D,-1.29237,36.84373,,,,
0411SMY,,Shauri Moyo,D,-1.29288,36.846,,,,
0411MZW,,Maziwa,D,-1.2936,36.8492,,,,
0401RKN,,Rikana,UD,-1.294013,36.851153,,,,
0411CAR,,Church Army,D,-1.29454,36.85315,,,,
0401LKN,,Likoni,ND,-1.296171,36.855461,,,,
0401KIE,,KIE,D,-1.306108,36.85636,,,,
0401VWA,,Viwandani,ND,-1.307353,36.856554,,,,
0411HOM,,Houes of Manji,D,-1.309543,36.8573,,,,
0401MBA,,Mamba,ND,-1.309228,36.859428,,,,
0411MRB,,Mareba,D,-1.308839,36.86231,,,,
0401TUY,,Tuskys,ND,-1.306922,36.875984,,,,
0401SNI,,Sinai,ND,-1.306552,36.87874,,,,
0401CRS,,Crescent,ND,-1.306213,36.881607,,,,
0401DMS,,Donholm,ND,-1.300211,36.885745,,,,
0400DMS,,Donholm,ND,-1.300434,36.885744,,,,
0400KNP,,Kenpoly,ND,-1.304277,36.883407,,,,
0400DNB,,Doni beach,ND,-1.304934,36.883006,,,,
0410DNB,,Donbeach,D,-1.30543,36.882598,,,,
0400CRS,,crescent,ND,-1.306163,36.88208,,,,
0410SNI,,Sinai,D,-1.306614,36.879198,,,,
0400SNI,,Sinai,ND,-1.306743,36.878495,,,,
0400TUY,,Tuskys,ND,-1.307043,36.876106,,,,
0400RPY,,Raiply,ND,-1.307445,36.873329,,,,
0400KON,,Kona,ND,-1.308037,36.868145,,,,
0410KON,,Kona,D,-1.308104,36.868022,,,,
0400PTC,,Patco,ND,-1.308593,36.864654,,,,
0410MRB,,Mareba,D,-1.308776,36.863592,,,,
0400MRB,,Mareba,ND,-1.309048,36.861798,,,,
0400CWN,,Crown,ND,-1.307335,36.856425,,,,
0410BAT,,BAT,D,-1.30533,36.856105,,,,
0400LKN,,Likoni,ND,-1.296405,36.855267,,,,
0410CAR,,Church Army,D,-1.29475,36.85326,,,,
0400MKG,,Makongeni,ND,-1.293745,36.848592,,,,
0410KLL,,Kaloleni,D,-1.29304,36.84563,,,,
0410CST,,City Stadium Stage,D,-1.29239,36.84268,,,,
0410MWA,,Muthurwa,D,-1.288383,36.833833,,,,
