stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0711RWY,,Railways,D,-1.290475,36.82801,,,,
0711NAT,,Nairobi Area Police Traffic Headquarters,D,-1.296463,36.808161,,,,
0711KNT,,Kenyatta National Hospital,D,-1.297568,36.804868,,,,
0711MCP,,Memosa/Coptic,D,-1.298912,36.798084,,,,
0701UCN,,Uchumi/National Oil,UD,-1.29971,36.792688,,,,
0701ROS,,Rose Of Sharon,UD,-1.301224,36.792779,,,,
0701PKA,,Peak Academy,UD,-1.301329,36.79094,,,,
0701NSC,,Nursing Council,UD,-1.301691,36.790328,,,,
0701KBG,,Kabarnet Gardens,UD,-1.302784,36.789113,,,,
0701MGJ,,Moi Girls' School Junction,UD,-1.303583,36.78813,,,,
0701ADC,,Kwa DC,UD,-1.305922,36.787509,,,,
0701MKA,,Makina/Kibera Law Courts,UD,-1.307308,36.782543,,,,
0701NJR,,Kwa Njiru(Petrol Station),UD,-1.308446,36.781577,,,,
0701SSR,,San Siro,UD,-1.30913,36.780745,,,,
0701KAR,,Karanja,UD,-1.309714,36.780324,,,,
0701FJE,,Fort Jesus,UD,-1.310756,36.779389,,,,
0701OLY,,Olympic Primary School,UD,-1.31168,36.778158,,,,
0711OLI,,Olympic Primary School Stage,D,-1.31156,36.776869,,,,
0701EQY,,Equity Ayani,UD,-1.311096,36.77577,,,,
0700EAY,,Equity Ayani,UD,-1.311068,36.775885,,,,
0710OLS,,Olympic Primary School,UD,-1.311585,36.778173,,,,
0700OLM,,Olympic Primary School,UD,-1.311405,36.778461,,,,
0700FJS,,Fort Jesus,UD,-1.310753,36.779341,,,,
0700KRA,,Karanja,UD,-1.309832,36.7802,,,,
0700TON,,Toi/Kwa Njiru,UD,-1.308551,36.781389,,,,
0700MOG,,Moi Girls,UD,-1.303361,36.787901,,,,
0710TTL,,Total Ngong Road,D,-1.299607,36.788665,,,,
0700BMC,,Bishop Maigua Centre,D,-1.29905,36.796961,,,,
0710CCT,,China Centre,D,-1.298608,36.798992,,,,
0710CME,,Coptic /Memosa,D,-1.297604,36.804312,,,,
0710KNL,,Kenyatta National Hospital,D,-1.297021,36.806934,,,,
0710NAQ,,Nairobi Area Traffic Headquarters,D,-1.2852881,36.8288328,,,,
0710TNA,,3rd Ngong Avenue,D,-1.295123,36.81021,,,,
0700NHF,,NHIF,D,-1.29449,36.812269,,,,
0710AGH,,Agip Haile Selassie,D,-1.291307,36.823225,,,,
0710RLA,,Railways,D,-1.289443,36.827767,,,,
